Dataset,#Samples,#Features,Source,Description,Leak,Synthetic / Unknown origin,Is timesplit appropriate?,Is timesplit used?,Is timesplit possible?,Raw,HomE,HetE,"Semi-
Tabular",Tabular,Year,Grinsztajn,Tabzilla,WildTab,TableShift,TabR
lymph,148,19,https://www.openml.org/search?type=data&status=active&id=10,"This dataset was collected in November 1988 for University Medical Centre, Institute of Oncology, Ljubljana, Yugoslavia by  Bojan Cestnik. It includes results of lymph test. The task is to classify lymph in one of four categories. Unfortunately, the dataset contains only 2 samples with normal lymph, making it hard for the dataset to be used for training a real world model categorizing lymph.",0,0,1,0,0,,,,,1,1988,,1,,,
qsar-biodeg,155,42,https://www.openml.org/search?type=data&status=active&id=1494,"The QSAR biodegradation dataset was built by the Milano Chemometrics and QSAR Research Group. Nowadays, a different approach based on graph neural networks is taken towards the task of predicting the characteristics of molecules, which is why this is not really a realistic use-case for tabular DL",0,0,0,0,0,,,1,,,2013,,1,,,
audiology,226,70,https://archive.ics.uci.edu/dataset/8/audiology+standardized ,"The audiology dataset has been provided by Professor Jergen at Baylor College of Medicine in 1987, and contains information describing the hearing ability of different patients",0,0,1,0,0,,,,,1,1987,,1,,,
heart-h,294,14,https://openml.org/search?type=data&status=active&id=51,This dataset was originally created by Andras Janosi et al. in 1988. A very small dataset including features describing person's questionnaire responses as well as some compressed test results. Statistics are too shallow to adequately solve the task at hand.,0,0,1,0,0,,,,,1,1988,,1,,,
colic,368,27,https://www.openml.org/search?type=data&status=active&id=25,The dataset of horses symptoms and whether or not they required surgery.,0,0,1,0,0,,,,,1,1989,,1,,,
monks-problems-2,601,7,https://www.openml.org/search?type=data&status=active&id=334,"Simple toy synthetic, the task of determining whether there are exactly two ones among the 6 binary variables.",0,1,0,0,0,0,0,0,0,0,1992,,1,,,
balance-scale,625,5,http://archive.ics.uci.edu/dataset/12/balance+scale,"This data set was generated to model psychological experimental results.  Each example is classified as having the balance scale tip to the right, tip to the left, or be balanced.  The attributes are the left weight, the left distance, the right weight, and the right distance.  The correct way to find the class is the greater of  (left-distance * left-weight) and (right-distance * right-weight).  If they are equal, it is balanced. This is not a real world problem. Just the data from psychological study, easily solvable with one equation",0,1,0,0,0,0,0,0,0,0,1994,,1,,,
profb,672,10,https://www.openml.org/search?type=data&status=active&id=470,Dataset describing professional football games. The task is to predict whether the favoured team was playing home.,0,0,1,0,0,,,,,1,1992,,1,,,
Australian,690,15,https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval,"Anonymized credit aproval dataset. Corresponds to a real-life task, but very small, with only 15 features, and no way to create a time/or even user based validation split, no time variable is available",0,0,1,0,0,,,,,1,1987,,1,,,
credit-approval,690,16,https://archive.ics.uci.edu/dataset/27/credit+approval,Same as Australian (but without preprocessing),0,0,1,0,0,,,,,1,1987,,1,,,
vehicle,846,19,https://www.openml.org/search?type=data&status=active&id=54,"This dataset was created from the vehicle silhouettes in 1987, the task is to classify a car class by its silhouette.",0,0,0,0,0,,,1,,,1987,,1,,,
cnae-9,1080,857,https://www.openml.org/search?type=data&status=active&id=1468,"This dataset only offers the frequencies of 800 words as features, the data is purely from the NLP domain",0,0,0,0,0,,1,,,,2009,,1,,,
socmob,1156,6,https://www.openml.org/search?type=data&status=active&id=44987,"An instance represents the number of sons that have a certain job A given the father has the job B (additionally conditioned on race and family structure). Just statistic data, not a real task",0,0,1,0,0,,,,,1,1973,,1,,,
100-plants-texture,1599,65,https://archive.ics.uci.edu/dataset/241/one+hundred+plant+species+leaves+data+set ,"This is a small dataset with images and image based features. The dataset first appeared in the paper ""Plant Leaf Classification Using Probabilistic Integration of Shape, Texture and Margin Features. Signal Processing, Pattern Recognition and Applications"", written by Mallah et al in 2013, and contains texture features extracted from the images of  the leaves taken from Royal Botanic Gardens in Kew, UK. The task at hand is to recognize which leave is being described by the given features. While this feature extraction was a beneficial way to handle vision-based information in the early 2010s, modern approaches to CV focus on the specific architectures better suited for image data.",0,0,0,0,0,,1,,,,2012,,1,,,
mfeat-fourier,2000,77,https://archive.ics.uci.edu/dataset/72/multiple+features ,One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps.,0,0,0,0,0,,1,0,,,1998,,1,,,
mfeat-zernike,2000,48,https://archive.ics.uci.edu/dataset/72/multiple+features,One of a set of 6 datasets describing features of handwritten numerals (0 - 9) extracted from a collection of Dutch utility maps.,0,0,0,0,0,,1,,,,1998,,1,,,
kc1,2109,22,https://openml.org/search?type=data&status=active&id=1067,"This dataset was created by Mike Chapman at NASA, and it contains features associated with the software quality. The task is to predict whether the code has any defects. Nowadays, the task of code quality analysis is solved mainly using NLP methods and is not tabular.
",0,0,0,0,0,,,1,,,2004,,1,,,
