Name,Link,Type,Teams,Timesplit,Timesplit Avail.,Tabular,Status,Notes,Deadline
home-credit-credit-risk-model-stability,https://www.kaggle.com/competitions/home-credit-credit-risk-model-stability/,Featured,3858,1,1,1,y,In the benchmark,2024-28-05 23:59
open-problems-single-cell-perturbations,https://www.kaggle.com/competitions/open-problems-single-cell-perturbations,Featured,1097,0,0,1,?,"Open scientific problem, good dataset",2023-11-30 23:59
icr-identify-age-related-conditions,https://www.kaggle.com/competitions/icr-identify-age-related-conditions,Featured,6430,0,0,1,?,"Medical/scientific data, very small sample size, might be good",2023-08-10 23:59
predict-student-performance-from-game-play,https://www.kaggle.com/competitions/predict-student-performance-from-game-play,Featured,2051,1,0,1,n,No timestamps available. No other problems,2023-06-28 23:59
godaddy-microbusiness-density-forecasting,https://www.kaggle.com/competitions/godaddy-microbusiness-density-forecasting,Featured,3385,1,1,1,?,"Small forecasting problem, where linear forecasts work best.",2023-06-16 23:59
amp-parkinsons-disease-progression-prediction,https://www.kaggle.com/competitions/amp-parkinsons-disease-progression-prediction,Featured,2197,1,1,1,?,"Medical data, small sample size",2023-05-18 23:59
march-machine-learning-mania-2023,https://www.kaggle.com/competitions/march-machine-learning-mania-2023,Featured,1033,1,1,1,?,Forecasting sports matches. Overlooked due to task specifics,2023-04-04 16:00
learning-equality-curriculum-recommendations,https://www.kaggle.com/competitions/learning-equality-curriculum-recommendations,Featured,1057,0,0,1,?,Multimodal tables (text fields). Not a typical tabular task,2023-03-14 23:59
otto-recommender-system,https://www.kaggle.com/competitions/otto-recommender-system,Featured,2574,1,1,1,?,"RecSys task, not a supervised tabular problem",2023-01-31 23:59
open-problems-multimodal,https://www.kaggle.com/competitions/open-problems-multimodal,Featured,1220,1,1,1,?,"Scientific data (DNA, RNA, protein measurements), non-standard tabular task",2022-11-15 23:59
jpx-tokyo-stock-exchange-prediction,https://www.kaggle.com/competitions/jpx-tokyo-stock-exchange-prediction,Featured,1039,1,1,1,?,"Market forecasting, hard to test, simple if and sort based solutions are at the top of the leaderboard",2022-10-07 23:59
